job_title,company,jobtype,region,working_Exp,edu_level,salary
都市計畫分析專員,家勤開發建設有限公司,不動產經營業,台南市東區,經歷不拘,專科,"月薪30,000~40,000元"
輿情策略管理師,伊瑪格科技有限公司,電子通訊／電腦週邊零售業,台北市信義區,經歷不拘,專科,"月薪38,000~42,000元"
【行銷】行銷社群實習生,LINE TAXI_觔斗雲聯網科技股份有限公司,網際網路相關業,台北市大安區,經歷不拘,大學,時薪168元以上
商業智慧(BI)工程師,凌群電腦股份有限公司,電腦系統整合服務業,台北市萬華區,經歷不拘,大學,"月薪28,000~60,000元"
資深媒體企劃／Senior Media Planner,米蘭營銷策劃股份有限公司,網際網路相關業,台北市信義區,2年以上,專科,"月薪35,000元以上"
[學生實習] 業務暨行銷企劃實習生 Sales and Marketing Internship (一年期),DHL_洋基通運股份有限公司,快遞服務業,台北市中山區,經歷不拘,大學,時薪168元
代銷市調專員,永慶不動產中山凱璿加盟店_凱璿不動產事業股份有限公司,不動產經營業,高雄市新興區,1年以上,專科,"月薪28,000~32,000元"
漁業研究工讀生,悠由數據應用股份有限公司,其他專業／科學及技術業,台北市內湖區,經歷不拘,專科,時薪168~220元
新事業開發專員(專案管理),全家便利商店股份有限公司,量販流通相關業,台北市中山區,2年以上,大學,"月薪38,000~41,000元"
[好會飛]AI工程師,好會飛網路股份有限公司,網際網路相關業,新北市中和區,經歷不拘,大學,"月薪40,000~70,000元"
資料工程師 (Data Engineer),天鏡科技股份有限公司,電腦系統整合服務業,新北市新莊區,2年以上,大學,"月薪40,000~90,000元"
系統全端工程師,台灣資安鑄造股份有限公司,其它軟體及網路相關業,台北市松山區,經歷不拘,大學,"月薪40,000元以上"
軟體開發工程師,信鼎技術服務股份有限公司,環境衛生及污染防治服務業,台南市新市區,3年以上,專科,"月薪40,000~65,000元"
Senior Android Engineer | 資深 Android 工程師,麻布數據科技股份有限公司,網際網路相關業,台北市信義區,3年以上,專科,"年薪1,100,000~1,500,000元"
