job_title,company,jobtype,region,working_Exp,edu_level,salary,salary_asist,salary_h,salary_l,salary_a
Sr./ Digital Marketing Specialist 資深/數位行銷專員,定承創意有限公司,廣告行銷公關業,台南市,1年以上,專科,"月薪35,000元以上",35000以上,35000.0,35000.0,35000.0
財管部門資訊人員,臺灣中小企業銀行股份有限公司,銀行業,台北市,1年以上,大學,"月薪33,000~53,000元",33000~53000,53000.0,33000.0,43000.0
行銷企劃專員,愛德蘭絲股份有限公司,美髮業,台北市,2年以上,大學,"月薪35,000~40,000元",35000~40000,40000.0,35000.0,37500.0
艋舺雞排總公司行銷企劃專員,元滋品牌股份有限公司,其他餐飲業,高雄市,2年以上,專科,"月薪30,000~35,000元",30000~35000,35000.0,30000.0,32500.0
市場分析專員,登昌恆興業股份有限公司,多媒體相關業,台北市,1年以上,大學,"月薪30,000~40,000元",30000~40000,40000.0,30000.0,35000.0
【2022暑期實習】投資型商品投資標的實習生,(總公司)南山人壽保險股份有限公司,人身保險業,台北市,經歷不拘,大學,"月薪30,000~32,000元",30000~32000,32000.0,30000.0,31000.0
【徵才】博士後研究人員1名,國立臺灣大學,大專校院教育事業,台北市,經歷不拘,博士,"月薪60,690~83,200元",60690~83200,83200.0,60690.0,71945.0
[北區]鏡片業務資訊人員,磐軒股份有限公司,鐘錶／眼鏡零售業,新北市,2年以上,專科,"月薪30,000~40,000元",30000~40000,40000.0,30000.0,35000.0
行銷企劃,越診所,診所,台北市,3年以上,專科,"月薪35,000元以上",35000以上,35000.0,35000.0,35000.0
【2022暑期實習】精算實習生,(總公司)南山人壽保險股份有限公司,人身保險業,台北市,經歷不拘,大學,"月薪30,000~32,000元",30000~32000,32000.0,30000.0,31000.0
資訊專案管理人員(工作地點：花蓮),財團法人中華民國佛教慈濟慈善事業基金會,宗教組織,花蓮縣,3年以上,大學,"月薪35,000~40,000元",35000~40000,40000.0,35000.0,37500.0
"★獎金加碼。最高可領29,000元★【資訊工程類】智慧製造系統開發工程師(新豐廠)",欣興電子股份有限公司,印刷電路板製造業(PCB),新竹縣,經歷不拘,大學,"月薪32,000~70,000元",32000~70000,70000.0,32000.0,51000.0
市場研究員 (Researcher),CRIF TAIWAN_中華徵信所企業股份有限公司,工商顧問服務業,台北市,1年以上,大學,"月薪30,000~39,000元",30000~39000,39000.0,30000.0,34500.0
《短租》行銷業務企劃專員,裕隆集團_格上汽車租賃股份有限公司,運輸工具設備租賃業,新北市,2年以上,專科,"月薪35,000~50,000元",35000~50000,50000.0,35000.0,42500.0
桃園_服務部 營運管理專員,台灣通力電梯股份有限公司,通用機械設備製造修配業,桃園市,3年以上,專科,"月薪28,000~38,000元",28000~38000,38000.0,28000.0,33000.0
【96自轉車 營運處】 網站平台營運專員(台北),應宏國際股份有限公司,消費性電子產品製造業,台北市,1年以上,專科,"月薪30,000元以上",30000以上,30000.0,30000.0,30000.0
整合行銷企劃人員 A3SD007,利勤實業股份有限公司,織布業,雲林縣,2年以上,大學,"月薪30,000~40,000元",30000~40000,40000.0,30000.0,35000.0
(高雄) 營運部 - 營運分析師,菜蟲農食股份有限公司,農／畜／水產品零售業,高雄市,經歷不拘,大學,"月薪32,000~45,000元",32000~45000,45000.0,32000.0,38500.0
國際品牌行銷企劃,一芝軒企業有限公司,玩具相關業,台中市,3年以上,專科,"月薪35,000~60,000元",35000~60000,60000.0,35000.0,47500.0
數位金融企劃專員,陽信商業銀行股份有限公司,銀行業,台北市,2年以上,大學,"月薪33,000~50,000元",33000~50000,50000.0,33000.0,41500.0
【工業4.0】智慧製造系統設計工程師++熟悉VB.Net、C#++(楊梅儲備)☆到職滿6個月，留任獎金最高11000元☆,欣興電子股份有限公司,印刷電路板製造業(PCB),桃園市,經歷不拘,大學,"月薪32,000~70,000元",32000~70000,70000.0,32000.0,51000.0
總公司資訊系統部電腦系統助理分析師/工程師 (AP類),統一綜合證券股份有限公司,證券及期貨業,台北市,經歷不拘,大學,"月薪38,000~43,000元",38000~43000,43000.0,38000.0,40500.0
DBA 資料庫管理師,樂榮科技股份有限公司,電腦軟體服務業,台北市,1年以上,大學,"月薪60,000~90,000元",60000~90000,90000.0,60000.0,75000.0
App產品副理,馬可波羅科技股份有限公司,電腦系統整合服務業,台北市,3年以上,專科,"月薪50,000~80,000元",50000~80000,80000.0,50000.0,65000.0
助理研究員,求真民意調查股份有限公司,工商顧問服務業,台北市,經歷不拘,大學,"月薪29,000元以上",29000以上,29000.0,29000.0,29000.0
營運部-營運分析師,菜蟲農食股份有限公司,農／畜／水產品零售業,台北市,經歷不拘,大學,"月薪32,000~45,000元",32000~45000,45000.0,32000.0,38500.0
能環中心誠徵全日專任輔佐研究員1名(碩士畢業),財團法人中華經濟研究院,其他教育服務業,台北市,經歷不拘,碩士,"月薪38,600元以上",38600以上,38600.0,38600.0,38600.0
【2022暑期實習】資訊系統實習生,(總公司)南山人壽保險股份有限公司,人身保險業,台北市,經歷不拘,大學,"月薪30,000~32,000元",30000~32000,32000.0,30000.0,31000.0
國家衛生研究院癌症研究所 江士昇助研究員實驗室誠徵計畫下博士後研究員1名,財團法人國家衛生研究院,其他教育服務業,苗栗縣,經歷不拘,博士,"月薪58,350元以上",58350以上,58350.0,58350.0,58350.0
行銷企劃,金恩科技股份有限公司,電腦及其週邊設備製造業,新北市,3年以上,高中,"月薪30,000~50,000元",30000~50000,50000.0,30000.0,40000.0
保養品行銷企劃專員,願麗醫美_塞席爾商碧麗股份有限公司台灣分公司,藥品／化妝品及清潔用品零售業,台北市,2年以上,專科,"月薪30,000~35,000元",30000~35000,35000.0,30000.0,32500.0
大數據工程師,新穎資訊有限公司,電腦軟體服務業,台中市,1年以上,大學,"月薪38,000~80,000元",38000~80000,80000.0,38000.0,59000.0
"Analyst, Customer Success",台灣尼爾森愛科股份有限公司,工商顧問服務業,台北市,經歷不拘,大學,"月薪35,000~40,000元",35000~40000,40000.0,35000.0,37500.0
遊戲企劃專員(數值型),鈊象電子股份有限公司,網際網路相關業,新北市,經歷不拘,大學,"月薪25,250~40,000元",25250~40000,40000.0,25250.0,32625.0
